_id CONNECTION_LOG_ID
user_id USER_ID
username USERNAME
_type SERVICE_TYPE
credit_used CREDIT_USED
retry_count RETRY_COUNT
successful AUTH_SUCCESS
in_bytes IN_BYTES
sub_service_qos SUBSERVICE_QOS
sub_service_name SUBSERVICE_NAME
out_bytes OUT_BYTES
ipv6_prefix IPV6_ADDRESS
sub_service_charging SUBSERVICE_CHARGING
remote_ip IPV4_ADDRESS
ras_id RAS_ID
caller_id CALLER_ID
called_id CALLED_ID
mac MAC
isp_id ISP_ID
duration BILLED_DURATION
details DETAILS
parent_session_id PARENT_SESSION_ID
terminate_cause TERMINATE_CAUSE
charge_rule_desc CHARGE_RULE
unique_id_value SESSION_ID
group_id SESSION_GROUP_ID
charge_rule_id CHARGE_ID
before_credit SESSION_BEFORE_STOP_COMMITTED_CREDIT
logout_time SESSION_REAL_STOP_TIME
login_time SESSION_REAL_START_TIME
port SESSION_PORT
